protocol,seed,best_epoch,best_val_accuracy,segment_accuracy,segment_macro_f1,segment_weighted_f1,recording_accuracy,recording_macro_f1,recording_weighted_f1,vessel_accuracy,vessel_macro_f1,vessel_weighted_f1
segment_level,42,40,0.972,0.9745,0.9745082445946144,0.9745082445946143,0.9845814977973568,0.9854115081849798,0.9845875816300527,0.9902912621359223,0.9932539682539683,0.9903143781784558
segment_level,43,50,0.97325,0.9715,0.9714905577952968,0.9714905577952968,0.9801762114537445,0.9805152034509833,0.9802159681378048,0.9902912621359223,0.9932539682539683,0.9903143781784558
recording_disjoint,42,18,0.6625,0.6655,0.665570349767921,0.665570349767921,0.6730769230769231,0.6779712404712405,0.6712111519803828,0.6444444444444445,0.6577965337607694,0.6454863198201206
recording_disjoint,43,26,0.6545,0.6585,0.6585484118999694,0.6585484118999694,0.7307692307692307,0.7320054945054946,0.7317413355874895,0.6888888888888889,0.6950757575757576,0.6929292929292928
vessel_name_disjoint,42,17,0.5615,0.5085,0.49171201561323674,0.49171201561323674,0.578125,0.5379660826594789,0.5545843160377358,0.5625,0.49011776753712233,0.5079397081413211
vessel_name_disjoint,43,6,0.53375,0.511,0.5070862145650993,0.5070862145650993,0.546875,0.5367423010193016,0.5281272873292128,0.5,0.5196969696969697,0.5166666666666667
